"scientific_name","class","order"
"Bombina variegata","Amphibia","Anura"
"Salamandra salamandra","Amphibia","Caudata"
"Bombina bombina","Amphibia","Anura"
"Bufo bufo","Amphibia","Anura"
"Epidalea calamita","Amphibia","Anura"
"Hyla arborea","Amphibia","Anura"
"Rana arvalis","Amphibia","Anura"
"Rana dalmatina","Amphibia","Anura"
"Rana temporaria","Amphibia","Anura"
"Anaxyrus americanus","Amphibia","Anura"
"Microcebus murinus","Mammalia","Primates"
"Hoplocephalus bungaroides","Lepidosauria","Squamata"
"Capra hircus","Mammalia","Artiodactyla"
"Contopus virens","Aves","Passeriformes"
"Podilymbus podiceps","Aves","Podicipediformes"
"Mareca strepera","Aves","Anseriformes"
"Buteo jamaicensis","Aves","Accipitriformes"
"Selasphorus calliope","Aves","Apodiformes"
"Kobus kob","Mammalia","Artiodactyla"
"Sylvia melanocephala","Aves","Passeriformes"
"Cygnus cygnus","Aves","Anseriformes"
"Didelphis aurita","Mammalia","Didelphimorphia"
"Vermivora chrysoptera","Aves","Passeriformes"
"Charadrius melodus","Aves","Charadriiformes"
"Mirza coquereli","Mammalia","Primates"
"Aotus azarae","Mammalia","Primates"
"Cerdocyon thous","Mammalia","Carnivora"
"Felis silvestris","Mammalia","Carnivora"
"Pyrocephalus rubinus","Aves","Passeriformes"
"Camelus bactrianus","Mammalia","Artiodactyla"
"Esox lucius","Actinopteri","Esociformes"
"Urocyon cinereoargenteus","Mammalia","Carnivora"
"Chamaea fasciata","Aves","Passeriformes"
"Eremophila alpestris","Aves","Passeriformes"
"Lanius excubitor","Aves","Passeriformes"
"Rana clamitans","Amphibia","Anura"
"Antidorcas marsupialis","Mammalia","Artiodactyla"
"Spodoptera exigua","Insecta","Lepidoptera"
"Agrotis ipsilon","Insecta","Lepidoptera"
"Danaus plexippus","Insecta","Lepidoptera"
"Triturus carnifex","Amphibia","Caudata"
"Setophaga americana","Aves","Passeriformes"
"Vireo flavifrons","Aves","Passeriformes"
"Chloris chloris","Aves","Passeriformes"
