"","scientific_name.x","collapsed_name","dispersal_km","dispersal_checked","source_dispersal","dispersal.original.value","dispersal.original.units","Migration_km","migration_checked","Migration_source","migration.original.value","migration.original.units","mean.hra.m2","home_range_checked","source_hra","hra.original.value","hra.original.unit","Mass_kg","Mass_source","mass.checked","number_traits_completed","person","diet","diet.source","media..air..water..land.","medium.source","geographic.range..km2.","geographic.unit.source","IUCN","mean.hra.km2","hr.radius","class","scientific_name"
"119","Oryctolagus cuniculus","oryctolaguscuniculus",0.535,"CJL","Santini_2013","0.535","km (mean)",0,"CF-changed source","Kolb_1991","remain in same sets of burrows year round",NA,62999.92,"DM","Tamburello_etal","62999.92","m2",1.6,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","756308","IUCN (estimated extent of occurrence)",NA,0.06299992,0.141610371670962,"MAMMALIA","Oryctolagus cuniculus"
"120","Otospermophilus beecheyi","otospermophilusbeecheyi",1.88,"CJL - changed value","Santini_2013","1.88","km (max)",0,"CF-changed source","ADW","may hibernate but stay in burrows year round",NA,518.84,"SDS - listed under synonym","Tamburello_etal","518.84","m2",0.72575,"Tamburello_etal","sds",4,"","Invertivore/Frugivore/Granivore","EOL","","","755384","IUCN (estimated extent of occurrence)",NA,0.00051884,0.0128511439703864,"MAMMALIA","Otospermophilus beecheyi"
"121","Ovis canadensis","oviscanadensis",12.28,"DM","Prugh_etal","12.28","km",40,"CJL","Hein_Gillooly_2011","40","km",27544823.89,"DM","Tamburello_etal","27544823.89","m2",90.71936,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,27.54482389,2.96104538252599,"MAMMALIA","Ovis canadensis"
"122","Phoenicurus phoenicurus","phoenicurusphoenicurus",36,"DM","Jenkins_et_al_2007","36000","m",6000,"CJL","Hein_Gillooly_2011","6000","km",4500,"DM","Tamburello_etal","4500","m2",0.01521,"Tamburello_etal","yes",4,"","Carnivore/Invertivore","Pigot_etal_2020","flying - air","Tamburello_etal","20300000","IUCN (estimated extent of occurrence)",NA,0.0045,0.0378469878303024,"AVES","Phoenicurus phoenicurus"
"123","Puma concolor","pumaconcolor",88.32,"CJL - changed value","Santini_2013","88.32","km (weighted mean of 8 studies)",50,"CJL","Hein_Gillooly_2011","50","km",312003883.7,"DM","Tamburello_etal","312003883.7","m2",89.99948,"Tamburello_etal","yes",4,"","Carnivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,312.0038837,9.9656369946656,"MAMMALIA","Puma concolor"
"124","Rangifer tarandus","rangifertarandus",39,"CJL - changed value and source","van_Oort_2005","39","km",1200,"CJL","Hein_Gillooly_2011","1200","km",3550830977,"DM","Tamburello_etal","3550830977","m2",102.05869,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,3550.830977,33.6194081468837,"MAMMALIA","Rangifer tarandus"
"125","Sciurus carolinensis","sciuruscarolinensis",100,"CJL - changed value","Santini_2013","100","km (max)",0,"SDS - changed source","Thompson_1977","resident","km",4900.04,"DM","Tamburello_etal","4900.04","m2",0.625,"Mace_Harvey_1983","",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","7077743","IUCN (estimated extent of occurrence)",NA,0.00490004,0.0394934320450378,"MAMMALIA","Sciurus carolinensis"
"126","Sciurus niger","sciurusniger",0.6,"CJL - changed value","Santini_2013","0.6","km (median)",0,"SDS - changed source","Wassmer_Refinetti_2016","resident","km",128265.54,"DM","Tamburello_etal","128265.54","m2",0.95299,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","wallking - land","Tamburello_etal","6358940","IUCN (estimated extent of occurrence)",NA,0.12826554,0.202059865977147,"MAMMALIA","Sciurus niger"
"127","Sciurus vulgaris","sciurusvulgaris",0.705,"CJL - changed value","Santini_2013","0.705","km (weighted mean of 2 studies)",0,"CJL - changed source","Longru_etal_2010","""non-migratory""","km",74908.31,"DM","Tamburello_etal","74908.31","m2",0.3275,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","41257639","IUCN (estimated extent of occurrence)",NA,0.07490831,0.154415205308027,"MAMMALIA","Sciurus vulgaris"
"128","Streptopelia turtur","streptopeliaturtur",30.4,"DM","Jenkins_et_al_2007","30400","m",6000,"CJL","Hein_Gillooly_2011","6000","km",63585000,"DM","Tamburello_etal","63585000","m2",0.14033,"Tamburello_etal","yes",4,"","Herbivore/Granivore","Pigot_etal_2020","flying - air","Tamburello_etal","7080000","IUCN (estimated extent of occurrence)",NA,63.585,4.49885920128607,"AVES","Streptopelia turtur"
"129","Sylvilagus floridanus","sylvilagusfloridanus",3.9,"DM","Jenkins_et_al_2007","3900","m",0,"SDS - changed source","Schribner_Warren_1990","","km",28920.11,"DM","Tamburello_etal","28920.11","m2",1.36079,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","19065866","IUCN (estimated extent of occurrence)",NA,0.02892011,0.0959455935544864,"MAMMALIA","Sylvilagus floridanus"
"130","Tamiasciurus hudsonicus","tamiasciurushudsonicus",0.09,"CJL - changed value","Santini_2013","0.09","km (mean)",0,"SDS - changed source","Lane_1954","","km",4753.35,"DM","Tamburello_etal","4753.35","m2",0.22396,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","18867865","IUCN (estimated extent of occurrence)",NA,0.00475335,0.0388977929642765,"MAMMALIA","Tamiasciurus hudsonicus"
"131","Taxidea taxus","taxideataxus",22.82,"CJL - changed value","Santini_2013","22.82","km (weighted mean of m/f)",0,"CJL - changed source","Gonzales_1997","non-migratory","",3808816.06,"DM","Tamburello_etal","3808816.06","m2",8.61827,"Tamburello_etal","yes",4,"","Carnivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,3.80881606,1.10108301528704,"MAMMALIA","Taxidea taxus"
"132","Trichosurus vulpecula","trichosurusvulpecula",5.4,"CJL","Santini_2013","5.4","km (weighted mean of 2 studies)",0,"CF-changed source","Green_1986","generally maintained same dens over the 3 year period of study",NA,50134.88,"DM","Tamburello_etal","50134.88","m2",2.87501,"Tamburello_etal","yes",4,"","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,0.05013488,0.126326671556873,"MAMMALIA","Trichosurus vulpecula"
"133","Upupa epops","upupaepops",1.41,"CJL - changed value","Botsch_etal_2012","1.41 - weighted average of 118 females, 115 males","km",5000,"CJL","Hein_Gillooly_2011","5000","km",12560000,"DM","Tamburello_etal","12560000","m2",0.067,"Tamburello_etal","yes",4,"SDS","Carnivore/Invertivore","Pigot_etal_2020","flying - air","Tamburello_etal","97000000","IUCN (estimated extent of occurrence)",NA,12.56,1.99949297834936,"AVES","Upupa epops"
"134","Urocitellus columbianus","Urocitelluscolumbianus",1.9,"CJL - changed value","Santini_2013","1.9","km (average of m/f median values)",0,"CF-changed source","Dobson_2011","hibernate in place over the winter",NA,535.5,"SDS - listed under synonym","Tamburello_etal","535.5","m2",0.57834,"Tamburello_etal","sds",4,"","Herbivore/Granivore/Frugivore","EOL","","","663159","IUCN (estimated extent of occurrence)",NA,0.0005355,0.0130558394617665,"MAMMALIA","Urocitellus columbianus"
"135","Vulpes velox","vulpesvelox",19.2,"CJL - changed value","Santini_2013","19.2","km (median)",0,"CF-changed source","Butler_2019","ranges change size but remain in place year round",NA,5495408.74,"DM","Tamburello_etal","5495408.74","m2",2.0893,"Tamburello_etal","yes",4,"","Carnivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,5.49540874,1.32258947922733,"MAMMALIA","Vulpes velox"
"136","Prionace glauca","prionaceglauca",7870,"DM","Jenkins_et_al_2007","7871000","m",3200,"CJL","Hein_Gillooly_2011","3200","km",1.64e+12,"SDS - measured from map","Vandeperre_2014","1640000","km2",70,"Nakano_2003","yes- Hein_Gillooly_2011 had 6.7kg- clearly an order of magnitude off",4,"CF","Carnivore","EOL","","","","",NA,1640000,722.515199384357,"CHONDRICHTHYES","Prionace glauca"
"137","Physeter catodon","physetercatodon",4000,"CJL","Jenkins_et_al_2007","4000000","m",5000,"CJL","Hein_Gillooly_2011","5000","km",3.14e+12,"SDS - hr spanned 2000 km","Whitehead_2008","2000","km",45000,"Hein_Gillooly_2011","yes",4,"MG","Omnivore/Carnivore","EOL","","","","",NA,3140000,999.746489174682,"NA","Physeter catodon"
"138","Corvus corax","corvuscorax",11.48,"DM","Jenkins_et_al_2007","11480","m",0,"MG","Heldbjerg_Fox_2008","Sedentary","",9388707,"SDS","Schoener_1968","2320","acres",1.134,"Armstrong_1965","",4,"MG","Omnivore/Omnivore","Pigot_etal_2020","","","137000000","IUCN (estimated extent of occurrence)",NA,9.388707,1.72873313631195,"AVES","Corvus corax"
"139","Falcipennis canadensis","falcipenniscanadensis",1.73,"MG","Barrowclough_Schroeder_2016","The mean distance dispersed by females (2.33 km) was twice that of males (1.13 km)","",3.98,"CJL - changed value","Herzog_Keppie_1980","mean of distances in Table 2","km",227000,"CJL - values was 118289.61 from an unfindable citation","Lycke_et_al_2011","22.7","ha",0.456,"Zammuto_1986","",4,"SDS","Herbivore","Pigot_etal_2020","","","11000000","IUCN (estimated extent of occurrence)",NA,0.227,0.268805402035972,"AVES","Falcipennis canadensis"
"140","Lagopus leucura","Lagopus leucura",29,"DM","Jenkins_et_al_2007","29000","m",5.47,"CJL - changed value","Hoffman_1975","weighted mean of age/sex classes: ((16*6.8)+(6.5*17)+(1.4*6)+(3.1*6))/(16+17+6+6)","km",10300,"MG - value was 2400000","Giesen_Braun_1992","1.03","Km2",0.3875,"EOL","",4,"SDS","Herbivore/Herbivore terrestrial","Pigot_etal_2020","","","4550000","IUCN (estimated extent of occurrence)",NA,0.0103,0.0572589890558072,"AVES","Lagopus leucura"
"141","Falco tinnunculus","falcotinnunculus",158.8,"DM ","Jenkins_et_al_2007","158800","m",2125.3,"CJL","Holte_etal_2016","mean of largest migratory distances reported for three adults","km",3e+06,"DM","makarieva_etal_2005","300","ha",0.2,"makarieva_etal_2005","yes",4,"SDS","Carnivore/Vertivore","Pigot_etal_2020","","","106000000","IUCN (estimated extent of occurrence)",NA,3,0.97720502380584,"AVES","Falco tinnunculus"
"142","Recurvirostra americana","recurvirostraamericana",19.4,"DM","Jenkins_et_al_2007","19400","m",1703.2,"CF","Horton_2018","1703.2","km",20700000,"SDS","Ackerman_2007","207.3","ha",0.362,"EOL","",4,"CF","Carnivore/Aquatic predator","Pigot_etal_2020","","","8870000","IUCN (estimated extent of occurrence)",NA,20.7,2.56690760332437,"AVES","Recurvirostra americana"
"143","Seiurus aurocapilla","seiurusaurocapilla",0.618,"CJL","Jenkins_et_al_2017","618","m",3206.4,"CF","Horton_2018","3206.4","km",1,"DM","Armstrong_1965","1","ha",0.0189,"Mace_Harvey_1983","",4,"","Carnivore/Invertivore","Pigot_etal_2020","","","9010000","IUCN (estimated extent of occurrence)",NA,1e-06,0.000564189583547756,"AVES","Seiurus aurocapilla"
"144","Tyrannus tyrannus","tyrannustyrannus",0.202,"MG","Murphy_1996","202","m, Dispersal patterns of adult male and female Eastern Kingbirds took the average from a plot",7071.6,"CF","Horton_2018","7071.6","km",70.3921,"DM","Armstrong_1965","8.39","ha",0.046,"Armstrong_1965","yes",4,"CF","Carnivore/Invertivore","Pigot_etal_2020","","","5290000","IUCN (estimated extent of occurrence)",NA,7.03921e-05,0.00473355060596567,"AVES","Tyrannus tyrannus"
"145","Bucephala albeola","bucephalaalbeola",4.5,"DM","Jenkins_et_al_2007","4500","m",2110.2,"CF","Horton_2018","2110.2","km",5600,"SDS","Bowman_2003","0.56","ha",0.39719,"EOL","",4,"CF","Carnivore/Aquatic predator","Pigot_etal_2020","","","11000000","IUCN (estimated extent of occurrence)",NA,0.0056,0.0422200824564475,"AVES","Bucephala albeola"
"146","Passerculus sandwichensis","passerculussandwichensis",1.6,"DM","Jenkins_et_al_2007","1600","m",2529.23,"CF","Horton_2018","2529.23","km",1400,"SDS","Bowman_2003","0.14","ha",0.02,"Bestetal_1996","",4,"SDS","Omnivore","Pigot_etal_2020","","","13400000","IUCN (estimated extent of occurrence)",NA,0.0014,0.0211100412282238,"AVES","Passerculus sandwichensis"
"147","Zonotrichia leucophrys","zonotrichialeucophrys",2.6,"DM","Jenkins_et_al_2007","2600","m",2396.1,"CF","Horton_2018","2396.1","km",1200,"SDS","Bowman_2003","0.12","ha",0.02582,"EOL","",4,"CJL","Omnivore/Omnivore","Pigot_etal_2020","","","10600000","IUCN (estimated extent of occurrence)",NA,0.0012,0.0195441004761168,"AVES","Zonotrichia leucophrys"
"148","Empidonax virescens","empidonaxvirescens",0.84,"CJL","Jenkins_et_al_2017","840","m",3457.7,"CF","Horton_2018","3457.7","km",18300,"MG- value was 11000","DeGraaf_2001","1.83","21.8 territorial males per 100 acres (40ha)",0.013,"Bestetal_1996","",4,"CF","Carnivore/Invertivore","Pigot_etal_2020","","","2070000","IUCN (estimated extent of occurrence)",NA,0.0183,0.0763221522047391,"AVES","Empidonax virescens"
"149","Colaptes auratus","colaptesauratus",191,"DM","Prugh_etal","191","km",1448.7,"CF","Horton_2018","1448.7","km",250000,"MG","Elchuk_Wiebe_2003","25","ha",0.132,"Bestetal_1996","",4,"CJL","Carnivore/Invertivore","Pigot_etal_2020","","","8520000","IUCN (estimated extent of occurrence)",NA,0.25,0.282094791773878,"AVES","Colaptes auratus"
"150","Aix sponsa","aixsponsa",3.8,"DM","Jenkins_et_al_2007","3800","m",469.4,"CF","Horton_2018","4.69E+02","km",3670000,"MG","Hartke and Hepp 2004","367","ha",0.658,"Bstetal_1996","",4,"PT","Omnivore/Herbivore","Pigot_etal_2020","","","11200000","IUCN (estimated extent of occurrence)",NA,3.67,1.0808317548511,"AVES","Aix sponsa"
"151","Melanerpes erythrocephalus","melanerpeserythrocephalus",0.58,"DM","Prugh_etal","0.58","km",505,"CF","Horton_2018","505","km",20100,"CJL","Kilgo_Vukovich_2014","2.01","ha",0.072,"Bestetal_1996","",4,"MG","Carnivore/Invertivore","Pigot_etal_2020","","","4680000","IUCN (estimated extent of occurrence)",NA,0.0201,0.0799876785029681,"AVES","Melanerpes erythrocephalus"
"152","Dumetella carolinensis","dumetellacarolinensis",15,"MG","Tittler_2009","15","Km",2308.1,"CF","Horton_2018","2308.1","km",1260000,"MG","Ladin et al. 2018","1.26","km2",0.0359,"Mace_Harvey_1983","",4,"","Omnivore/Invertivore","Pigot_etal_2020","","","8260000","IUCN (estimated extent of occurrence)",NA,1.26,0.633301236846713,"AVES","Dumetella carolinensis"
"153","Hylocichla mustelina","hylocichlamustelina",70,"MG","Tittler_2009","70","Km",2822.3,"CF","Horton_2018","2822.3","km",1770000,"MG","Ladin et al. 2018","1.77","km2",0.051,"Hein_Gillooly_2011","",4,"","Omnivore/Invertivore","Pigot_etal_2020","","","1710000","IUCN (estimated extent of occurrence)",NA,1.77,0.750605421340207,"AVES","Hylocichla mustelina"
"154","Ammodramus savannarum","ammodramussavannarum",0.346,"MG","Anthony_2013","346","m",1343.9,"CF","Horton_2018","1343.9","km",10900,"CJL","Mace_Harvey_1983","1.09","ha",0.0167,"Mace_Harvey_1983","",4,"CF","Omnivore/Invertivore","Pigot_etal_2020","","","11500000","IUCN (estimated extent of occurrence)",NA,0.0109,0.0589031218137317,"AVES","Ammodramus savannarum"
"155","Geothlypis trichas","geothlypistrichas",1.7,"DM","Lehnen_Rodewald_2009","1.7","km",2156.4,"CF","Horton_2018","2156.4","km",5300,"CJL","Mace_Harvey_1983","0.53","ha",0.0098,"Mace_Harvey_1983","",4,"SDS","Carnivore/Invertivore","Pigot_etal_2020","","","12200000","IUCN (estimated extent of occurrence)",NA,0.0053,0.0410736216661508,"AVES","Geothlypis trichas"
"156","Icteria virens","icteriavirens",40,"MG","Tittler_2009","40","Km",2466.4,"CF","Horton_2018","2466.4","km",1300,"CJL","Mace_Harvey_1983","0.13","ha",0.027,"Mace_Harvey_1983","",4,"","Carnivore/Invertivore","Pigot_etal_2020","","","2560000","IUCN (estimated extent of occurrence)",NA,0.0013,0.0203421447256411,"AVES","Icteria virens"
"157","Melospiza melodia","melospizamelodia",45,"MG","Tittler_2009","45","Km",753.4,"CF","Horton_2018","753.4","km",1600,"CJL","Mace_Harvey_1983","0.16","ha",0.0216,"Mace_Harvey_1983","",4,"","Omnivore","Pigot_etal_2020","","","24000000","IUCN (estimated extent of occurrence)",NA,0.0016,0.0225675833419103,"AVES","Melospiza melodia"
"158","Passerina caerulea","passerinacaerulea",25,"MG","Tittler_2009","25","Km",1497.6,"CF","Horton_2018","1497.6","km",61900,"CJL","Mace_Harvey_1983","6.19","ha",0.0279,"Mace_Harvey_1983","",4,"","Carnivore/Invertivore","Pigot_etal_2020","","","6510000","IUCN (estimated extent of occurrence)",NA,0.0619,0.140368735674211,"AVES","Passerina caerulea"
"159","Passerina cyanea","passerinacyanea",470,"DM","Prugh_etal","470","km",2317.6,"CF","Horton_2018","2317.6","km",1100,"CJL","Mace_Harvey_1983","0.11","ha",0.0143,"Mace_Harvey_1983","",4,"","Herbivore/Granivore","Pigot_etal_2020","","","5450000","IUCN (estimated extent of occurrence)",NA,0.0011,0.0187120515925478,"AVES","Passerina cyanea"
"160","Protonotaria citrea","protonotariacitrea",1.42,"DM","McKim-Louder_2014","1.42","km",2527,"CF","Horton_2018","2527","km",15000,"CJL","Mace_Harvey_1983","1.5","ha",0.0161,"Mace_Harvey_1983","",4,"CF","Carnivore/Invertivore","Pigot_etal_2020","","","3660000","IUCN (estimated extent of occurrence)",NA,0.015,0.0690988298942671,"AVES","Protonotaria citrea"
"161","Setophaga ruticilla","setophagaruticilla",0.25,"DM","Prugh_etal","0.25","km",3997.3,"CF","Horton_2018","3997.3","km",1900,"CJL","Mace_Harvey_1983","0.19","ha",0.009,"Mace_Harvey_1983","",4,"","Carnivore/Invertivore","Pigot_etal_2020","","","14600000","IUCN (estimated extent of occurrence)",NA,0.0019,0.0245924537968297,"AVES","Setophaga ruticilla"
"162","Sialia sialis","sialiasialis",160,"DM","Prugh_etal","160","km",836,"CF","Horton_2018","836","km",10100,"CJL","Mace_Harvey_1983","1.01","ha",0.0308,"Mace_Harvey_1983","",4,"","Carnivore/Invertivore","Pigot_etal_2020","","","9410000","IUCN (estimated extent of occurrence)",NA,0.0101,0.0567003514138694,"AVES","Sialia sialis"
"163","Spiza americana","spizaamericana",0.1125,"DM","Berkley_2007","112.5","m",3533.9,"CF","Horton_2018","3533.9","km",8900,"CJL","Mace_Harvey_1983","0.89","ha",0.035,"Mace_Harvey_1983","",4,"CF","Omnivore/Omnivore","Pigot_etal_2020","","","3930000","IUCN (estimated extent of occurrence)",NA,0.0089,0.0532255388609241,"AVES","Spiza americana"
"164","Lanius ludovicianus","laniusludovicianus",79.7,"DM","Jenkins_et_al_2007","79700","m",567.5,"CF","Horton_2018","567.5","km",60000,"DM","makarieva_etal_2005","6","ha",0.0481,"Tamburello_etal","sds",4,"","Carnivore/Invertivore","Pigot_etal_2020","flying - air","Tamburello_etal","9930000","IUCN (estimated extent of occurrence)",NA,0.06,0.138197659788534,"AVES","Lanius ludovicianus"
"165","Pipilo erythrophthalmus","pipiloerythrophthalmus",15,"MG","Tittler_2009","15","Km",569.8,"CF","Horton_2018","569.8","km",73100,"MG","Martin_2016","7.31","ha",0.041,"Bestetal_1996","",4,"SDS","Omnivore/Herbivore","Pigot_etal_2020","","","3510000","IUCN (estimated extent of occurrence)",NA,0.0731,0.15254000354017,"AVES","Pipilo erythrophthalmus"
"166","Charadrius montanus","charadriusmontanus",3.5,"DM - changed value","Skrade_Dinsmore_2010","3.5","km",1165.3,"CF","Horton_2018","1165.3","km",566000,"CJL","Plumb_et_al_2005","56.6","ha",0.0957,"EOL","",4,"CJL","Carnivore/Invertivore","Pigot_etal_2020","","","1580000","IUCN (estimated extent of occurrence)",NA,0.566,0.424456588569462,"AVES","Charadrius montanus"
"167","Cardellina canadensis","cardellinacanadensis",0.5,"DM - changed value","Ball_etal_2016","500","m",5217.1,"CF alternative name: Wilsonia canadensis","Horton_2018","5217.1","km",10117.1,"SDS","Schoener_1968","2.5","acres",0.0093,"Schoener_1968","",4,"SDS","Carnivore/Invertivore","Pigot_etal_2020","","","5080000","IUCN (estimated extent of occurrence)",NA,0.0101171,0.0567483299270563,"AVES","Cardellina canadensis"
"168","Setophaga pensylvanica","setophagapensylvanica",35,"MG","Tittler_2009","35","Km",3458.6,"CF alternative name: Dendroica pensylvanica","Horton_2018","3458.6","km",6070.28,"SDS","Schoener_1968","1.5","acres",0.0096,"Schoener_1968","",4,"","Carnivore/Invertivore","Pigot_etal_2020","","","4500000","IUCN (estimated extent of occurrence)",NA,0.00607028,0.0439571397602681,"AVES","Setophaga pensylvanica"
"169","Setophaga petechia","setophagapetechia",0.1195,"DM","Cilimburg_et_al_2002","119.5","m",3740,"CF alternative name: Dendroica petechia","Horton_2018","3740","km",1699.68,"SDS","Schoener_1968","0.42","acres",0.0095,"Schoener_1968","",4,"MG","Carnivore/Invertivore","Pigot_etal_2020","","","15700000","IUCN (estimated extent of occurrence)",NA,0.00169968,0.0232599429781946,"AVES","Setophaga petechia"
"170","Spizella passerina","spizellapasserina",40,"MG","Tittler_2009","40","Km",1839.1,"CF","Horton_2018","1839.1","km",30756.1,"SDS","Schoener_1968","7.6","acres",0.0142,"Armstrong_1965","",4,"","Omnivore","Pigot_etal_2020","","","9880000","IUCN (estimated extent of occurrence)",NA,0.0307561,0.0989442807364695,"AVES","Spizella passerina"
"171","Sturnella magna","sturnellamagna",6,"SDS","Kershner_2004","6.6","km",359.4,"CF","Horton_2018","359.4","km",30351.4,"SDS","Schoener_1968","7.5","acres",0.089,"Schoener_1968","",4,"CF","Carnivore/Invertivore","Pigot_etal_2020","","","20500000","IUCN (estimated extent of occurrence)",NA,0.0303514,0.0982911526004182,"AVES","Sturnella magna"
"172","Sturnella neglecta","sturnellaneglecta",0.5,"MG","Giovanni_2009",">0.5","Km for post-fledging dispersal",877.5,"CF","Horton_2018","877.5","km",30351.4,"SDS","Schoener_1968","7.5","acres",0.089,"Schoener_1968","",4,"CF","Omnivore/Invertivore","Pigot_etal_2020","","","7760000","IUCN (estimated extent of occurrence)",NA,0.0303514,0.0982911526004182,"AVES","Sturnella neglecta"
"173","Troglodytes aedon","troglodytesaedon",75,"MG","Tittler_2009","75","Km",1142,"CF","Horton_2018","1142","km",4046.86,"SDS","Schoener_1968","1","acres",0.0112,"Schoener_1968","",4,"","Carnivore/Invertivore","Pigot_etal_2020","","","49100000","IUCN (estimated extent of occurrence)",NA,0.00404686,0.0358908838843756,"AVES","Troglodytes aedon"
"174","Troglodytes troglodytes","troglodytestroglodytes",8.9,"MG","Paradis_1998 & Prugh_etal","8.9","Km",1127.8,"CF","Horton_2018","1127.8","km",10117.1,"SDS","Schoener_1968","2.5","acres",0.0095,"Schoener_1968","",4,"","Carnivore/Invertivore","Pigot_etal_2020","","","50800000","IUCN (estimated extent of occurrence)",NA,0.0101171,0.0567483299270563,"AVES","Troglodytes troglodytes"
"175","Vireo bellii","vireobellii",4,"SDS","Kus_et_al_2010","","",1537.3,"CF","Horton_2018","1537.3","km",11735.9,"SDS","Schoener_1968","2.9","acres",0.01,"Schoener_1968","",4,"CJL","Carnivore/Invertivore","Pigot_etal_2020","","","1380000","IUCN (estimated extent of occurrence)",NA,0.0117359,0.0611199884920175,"AVES","Vireo bellii"
"176","Vireo griseus","vireogriseus",55,"MG","Tittler_2009","55","Km",1122.6,"CF","Horton_2018","1122.6","km",1335.463,"SDS","Schoener_1968","0.33","acres",0.0114,"Schoener_1968","",4,"","Carnivore/Invertivore","Pigot_etal_2020","","","6050000","IUCN (estimated extent of occurrence)",NA,0.001335463,0.0206177369158854,"AVES","Vireo griseus"
"177","Megascops asio","megascopsasio",2.3,"MG","Belthoff_Ritchison_1989","2.3","km (natal dispersal)",0,"CF","IUCN","not a migrant'",NA,485100,"MG","Belthoff_etal_1993","48.5","ha",0.166,"EOL","",4,"SDS","Carnivore/Invertivore","Pigot_etal_2020","","","8220000","IUCN (estimated extent of occurrence)",NA,0.4851,0.392953083443503,"AVES","Megascops asio"
"178","Malurus splendens","malurussplendens",2.4,"DM","Jenkins_et_al_2007","2400","m",0,"CF","IUCN","not a migrant'",NA,43000,"SDS","Bowman_2003","4.3","ha",0.009,"Box_etal_2010","",4,"SDS","Carnivore/Invertivore","Pigot_etal_2020","","","5350000","IUCN (estimated extent of occurrence)",NA,0.043,0.116992842113964,"AVES","Malurus splendens"
"179","Perisoreus canadensis","perisoreuscanadensis",11.3,"DM","Jenkins_et_al_2007","11300","m",0,"CF","IUCN","not a migrant'",NA,870000,"SDS","Bowman_2003","87","ha",0.0703,"EOL","",4,"CJL","Omnivore/Omnivore","Pigot_etal_2020","","","16900000","IUCN (estimated extent of occurrence)",NA,0.87,0.526241010355424,"AVES","Perisoreus canadensis"
"180","Strix nebulosa","strixnebulosa",50,"DM","Jenkins_et_al_2007","50000","m",0,"CF- migration not in IUCN","Cornell Birds of North America","0",NA,47800000,"SDS","Bowman_2003","4780","ha",1.122,"EOL","",4,"CJL","Carnivore/Vertivore","Pigot_etal_2020","","","44700000","IUCN (estimated extent of occurrence)",NA,47.8,3.90066821962407,"AVES","Strix nebulosa"
"181","Tetrastes bonasia","tetrastesbonasia",5.7,"DM","Jenkins_et_al_2007","5700","m",0,"CF- not in IUCN","Avibase","sedentary",NA,120000,"SDS","Bowman_2003","12","ha",0.429,"EOL","",4,"CJL","Herbivore","Pigot_etal_2020","","","30700000","IUCN (estimated extent of occurrence)",NA,0.12,0.195441004761168,"NA","Tetrastes bonasia"
"182","Panthera leo","pantheraleo",12.3,"DM","Whitmee and Ormee 2012","12.3","linear km",0,"CF- migration not in IUCN","Kittle_2016","inferred from map",NA,2.4e+08,"MG","Gittleman_Harvey_1982","240","km2",155.8,"Gittleman & Harvey (1982)","",4,"SDS","Carnivore","EOL","running","Hirt_etal","","",NA,240,8.74038744473663,"MAMMALIA","Panthera leo"
"183","Leopardus pardalis","leoparduspardalis",9.9,"DM","Whitmee and Ormee 2012","9.9","linear km",0,"CF","IUCN","not a migrant'",NA,16100000,"MG - value was 12460000","Gonzalez-Borrajo et al 2017","20.5","km2",9.98964,"Tamburello_etal","sds",4,"CJL","Carnivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,16.1,2.26379971895904,"MAMMALIA","Leopardus pardalis"
"184","Peromyscus maniculatus","peromyscusmaniculatus",1.32,"DM","Jenkins_et_al_2007","1320","m",0,"DM - no comment on migration","IUCN","",NA,8100,"CJL","Harestad and Bunnel 1979","0.81","ha",0.016,"Harestad and Bunnel 1979","sds",4,"SDS","Omnivore/Herbivore/Granivore","EOL","running","Hirt_etal","20831240","IUCN (estimated extent of occurrence)",NA,0.0081,0.0507770625192981,"MAMMALIA","Peromyscus maniculatus"
"185","Picoides borealis","picoidesborealis",90,"DM","Jenkins_et_al_2007","90000","m",0,"DM","IUCN","not a migrant",NA,869000,"CJL","Hooper_et_al_1982","86.9","ha",0.056,"EOL","",4,"MG","Carnivore/Invertivore","Pigot_etal_2020","","","1630000","IUCN (estimated extent of occurrence)",NA,0.869,0.525938486035881,"NA","Picoides borealis"
"186","Gymnorhinus cyanocephalus","gymnorhinuscyanocephalus",640,"DM","Jenkins_et_al_2007","640000","m",0,"DM","IUCN","not a migrant",NA,59800000,"CJL","Johnson_etal_2016","5978","ha",0.105,"EOL","",4,"SDS","Omnivore/Omnivore","Pigot_etal_2020","","","2280000","IUCN (estimated extent of occurrence)",NA,59.8,4.36290398631355,"AVES","Gymnorhinus cyanocephalus"
