"","scientific_name.x","collapsed_name","dispersal_km","dispersal_checked","source_dispersal","dispersal.original.value","dispersal.original.units","Migration_km","migration_checked","Migration_source","migration.original.value","migration.original.units","mean.hra.m2","home_range_checked","source_hra","hra.original.value","hra.original.unit","Mass_kg","Mass_source","mass.checked","number_traits_completed","person","diet","diet.source","media..air..water..land.","medium.source","geographic.range..km2.","geographic.unit.source","IUCN","mean.hra.km2","hr.radius","class","scientific_name"
"15","Elanus leucurus","elanusleucurus",160,"DM","Jenkins_et_al_2007","160000","m",0,"MG","Bildstein_2004","All range falls in tropics","",78000,"SDS","Bowman_2003","7.8","ha",0.346,"EOL","",4,"CF","Carnivore/Vertivore","Pigot_etal_2020","","","42700000","IUCN (estimated extent of occurrence)",NA,0.078,0.157569575497098,"AVES","Elanus leucurus"
"16","Bubo virginianus","bubovirginianus",1305,"DM","Jenkins_et_al_2007","1305000","m",0,"MG","Fristoe_et_al_2017","","",4800000,"DM","makarieva_etal_2005","480","ha",1.51,"Tamburello_etal","sds",4,"CJL","Carnivore/Vertivore","Pigot_etal_2020","flying - air","Tamburello_etal","65900000","IUCN (estimated extent of occurrence)",NA,4.8,1.23607744647421,"AVES","Bubo virginianus"
"17","Parkesia motacilla","parkesiamotacilla",4,"DM","Prugh_etal","4","km",2540,"SDS - was 2500","LaSorta_etal_2013","km","",20000,"SDS","Bowman_2003","2","ha",0.02,"Bestetal_1996","",4,"CJL","Carnivore/Invertivore","Pigot_etal_2020","","","3520000","IUCN (estimated extent of occurrence)",NA,0.02,0.0797884560802865,"AVES","Parkesia motacilla"
"18","Cryptobranchus alleganiensis","cryptobranchusalleganiensis",0.99,"DM","Jenkins_et_al_2007","990","m",0,"MG","Bodinof et al. 2012","Hellbender movements indicated a short period of exploration followed by more permanent settlement and high site fidelity typical of wild conspecifics","",110,"SDS","Hillis&Bellis_1971","10","m",0.571,"Humphries_Pauley_2005","",4,"PLT","Carnivore","EOL","","","","",NA,0.00011,0.0059172702727032,"AMPHIBIA","Cryptobranchus alleganiensis"
"19","Sylvilagus bachmani","sylvilagusbachmani",0.352,"DM","Jenkins_et_al_2007","352","m",0,"SDS","Chapman_1974","","",2800,"CJL","Harestad and Bunnel 1979","0.28","ha",0.695,"Harestad and Bunnel 1979","sds",4,"CF","Herbivore/Browser/Grazer","EOL","","","809968","IUCN (estimated extent of occurrence)",NA,0.0028,0.0298541066072092,"MAMMALIA","Sylvilagus bachmani"
"20","Tamias minimus","tamiasminimus",3.02,"DM","Prugh_etal","3.02","km",0,"SDS","Verts_Carraway_2001","","",21000,"CJL","Swithart_etal_1988","2.1","ha",0.045,"Swithart_etal_1988","",4,"CF","Omnivore/Frugivore/Granivore","EOL","running","Hirt_etal","9004167","IUCN (estimated extent of occurrence)",NA,0.021,0.0817588381146626,"NA","Tamias minimus"
"21","Blarina brevicauda","blarinabrevicauda",7.71,"DM","Prugh_etal","7.71","km",0,"MG","Buchler_Wasilewski_1985","non-migratory","",3520.765,"DM","McNab_1963","0.87","acres",0.00089,"EOL","",4,"MG","Omnivore/Carnivore","EOL","","","6066474","IUCN (estimated extent of occurrence)",NA,0.003520765,0.0334767726405918,"MAMMALIA","Blarina brevicauda"
"22","Deirochelys reticularia","deirochelysreticularia",0.192,"DM","Jenkins_et_al_2007","192","m",0.1,"MG","Buhlmann_1995","95","m",23800,"DM","Tamburello_etal","23800","m2",0.588,"Tamburello_etal","yes",4,"CF","Carnivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,0.0238,0.0870389297451101,"NA","Deirochelys reticularia"
"23","Dendragapus obscurus","dendragapusobscurus",11,"DM","Jenkins_et_al_2007","11000","m",4.5,"MG","Cade_Hoffman_1993","Males (median = 10.5 km, range = 1.0-29.4 km) also moved farther than females (median = 1.0 km, range = 0.1-28.0 km),","km",16996.8,"SDS","Schoener_1968","4.2","acres",1.05,"Schoener_1968","",4,"PLT","Herbivore/Herbivore terrestrial","Pigot_etal_2020","","","3390000","IUCN (estimated extent of occurrence)",NA,0.0169968,0.0735543980567352,"AVES","Dendragapus obscurus"
"24","Strix occidentalis","strixoccidentalis",87.4,"DM","Jenkins_et_al_2007","87400","m",31,"MG - value was 50","Laymon_1989","3.10E+01","km",1.4e+07,"DM","makarieva_etal_2005","1400","ha",0.571,"EOL","",4,"CF","Carnivore/Vertivore","Pigot_etal_2020","","","3920000","IUCN (estimated extent of occurrence)",NA,14,2.11100412282238,"AVES","Strix occidentalis"
"25","Chrysemys picta","chrysemyspicta",0.621,"DM","Jenkins_et_al_2007","621","m",0.06,"MG - value was 0.6","Congdon_Gatten_1989","60","m",31500,"DM","Tamburello_etal","31500","m2",0.3545,"Tamburello_etal","yes",4,"CF","Carnivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,0.0315,0.100133717671868,"REPTILIA","Chrysemys picta"
"26","Ursus arctos","ursusarctos",36.6,"DM","Prugh_etal","36.6","km",0,"CF","Eriksen_2018","spend winter hibernating'",NA,53100000,"MG","Gittleman and Harvey (1982)","53.1","km2",204.12,"Harestad and Bunnel 1979","sds",4,"MG","Omnivore/Herbivore/Carnivore","EOL","running","Hirt_etal","","",NA,53.1,4.11123521053701,"MAMMALIA","Ursus arctos"
"27","Sylvilagus palustris","sylvilaguspalustris",0.56,"DM","Prugh_etal","0.56","km",0,"CF","ADW","year-round home ranges",NA,39600.44,"DM","Tamburello_etal","39600.44","m2",1.34999,"tamburello_etal","yes",4,"CJL","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","723439.5","IUCN (estimated extent of occurrence)",NA,0.03960044,0.112272933288607,"MAMMALIA","Sylvilagus palustris"
"28","Vulpes rueppellii","vulpesrueppellii",32,"DM","Whitmee and Ormee 2012","32","linear km",0,"CF","Lindsay_1986","territories maintained throughout the year'",NA,30399749.15,"DM","Tamburello_etal","30399749.15","m2",3.24997,"Tamburello_etal","yes",4,"SDS","Carnivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,30.39974915,3.11071385568526,"MAMMALIA","Vulpes rueppellii"
"29","Hylobates lar","hylobateslar",0.62,"DM","Whitmee and Ormee 2012","620","linear m",0,"CF","Bartlett_2009","year-round home ranges",NA,386666.667,"MG","Galan-Acedo et al. 2019","38.66667","ha",5.64,"Galan-Acedo et al. 2019","",4,"SDS","Omnivore/Frugivore","EOL","","","","",NA,0.386666667,0.350827340388168,"MAMMALIA","Hylobates lar"
"30","Didelphis marsupialis","didelphismarsupialis",4.3,"DM","Prugh_etal","4.3","km",0,"CF","Caceres_2003","breeding season homerange a subset of yearround home range",NA,598800,"CJL","Harestad and Bunnel 1979","59.88","ha",2.724,"Harestad and Bunnel 1979","sds",4,"CJL","Omnivore/Carnivore","EOL","","","","",NA,0.5988,0.436582134136125,"MAMMALIA","Didelphis marsupialis"
"31","Panthera pardus","pantherapardus",9.83,"DM","Whitmee and Ormee 2012","9.83","linear km",0,"CF","Rozhonov_2015","remained in same area over 464  day study",NA,21080000,"CJL - value was 40350000","Kroshko et al. 2016","21.08","km2",52.4,"Gittleman & Harvey (1982)","",4,"CJL","Carnivore","EOL","running","Hirt_etal","","",NA,21.08,2.59036144210693,"MAMMALIA","Panthera pardus"
"32","Panthera tigris","pantheratigris",101.3,"CF- changed value","Singh et al. 2013","124.2","km - changed value to the average for males and females. Origional entry was just males",0,"CF","ADW","year-round home ranges","",69690000,"CJL - value was 42750000","Kroshko et al. 2016","69.69","km2",161,"Gittleman & Harvey (1982)","",4,"CJL","Carnivore","EOL","running","Hirt_etal","1184911","IUCN (estimated extent of occurrence)",NA,69.69,4.70988492090288,"MAMMALIA","Panthera tigris"
"33","Microtus pinetorum","microtuspinetorum",1.55,"DM","Prugh_etal","1.55","km",0,"CF","COSEWIC_2010","no seasonal movements",NA,5800,"CJL","Mace_Harvey_1983","0.58","ha",0.023,"Mace_Harvey_1983","",4,"SDS","Herbivore","EOL","running","Hirt_etal","3613193","IUCN (estimated extent of occurrence)",NA,0.0058,0.0429673985699156,"MAMMALIA","Microtus pinetorum"
"34","Mus musculus","musmusculus",1.5,"DM","Jenkins_et_al_2007","1500","m",0.01,"CF","Sidorov_2010","estimated based on description of seasonal movement in and out of buildings","meters",800,"CJL","Mace_Harvey_1983","0.08","ha",0.014,"Mace_Harvey_1983","",4,"SDS","Omnivore/Herbivore/Carnivore","Animal_Diversity_Web","running","Hirt_etal","<20000","IUCN (estimated extent of occurrence)",NA,8e-04,0.0159576912160573,"MAMMALIA","Mus musculus"
"35","Castor canadensis","castorcanadensis",40.6,"DM","Jenkins_et_al_2007","40600","m",0,"CF","Lancia_1982","all winter activity cose to permanent lodge",NA,32374.9,"DM","McNab_1963","8","acres",0.41517,"EOL","",4,"MG","Herbivore/Browser","EOL","","","23888811","IUCN (estimated extent of occurrence)",NA,0.0323749,0.101514780865703,"MAMMALIA","Castor canadensis"
"36","Didelphis virginiana","didelphisvirginiana",4.726,"DM","Whitmee and Ormee 2012","4.726","linear km",0,"CF","ADW","constant home range throughout their lifespan",NA,109062.78,"DM","McNab_1963","26.95","acres",3.05,"","",4,"CJL","Omnivore/Carnivore","EOL","","","","",NA,0.10906278,0.186321660277832,"MAMMALIA","Didelphis virginiana"
"37","Glaucomys volans","glaucomysvolans",0.43,"DM","Prugh_etal","0.43","km",0,"CF","ADW","females defend home range year round",NA,16187.4,"DM","McNab_1963","4","acres",0.0645,"Tamburello_etal","sds",4,"SDS","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","10018108","IUCN (estimated extent of occurrence)",NA,0.0161874,0.0717816790804694,"MAMMALIA","Glaucomys volans"
"38","Canis latrans","canislatrans",232,"DM","Jenkins_et_al_2007","232200","m",35.8,"CF","Gantz_2005","3.58E+01","km",6190000,"CJL","Swithart_etal_1988","618.5","ha",11.9891,"EOL","",4,"PLT","Omnivore/Carnivore","EOL","running","Hirt_etal","","",NA,6.19,1.40368735674211,"MAMMALIA","Canis latrans"
