"","scientific_name.x","dispersal_km","Migration_km","mean.hra.m2","Mass_kg","class","order","diet_broadest_cat","media_simplified","media_dispersal","media_migration","media_foraging","source_dispersal","Migration_source","source_hra","dispersal_type","hr.radius","dispersal_source_type","foraging_source_type","migration_source_type","dispersal_year","foraging_year","migration_year"
"35","Dendragapus_obscurus",11.0001,4.5,16996.8,1.05,"Aves","Galliformes","Herbivore","land","land","land","land","Jenkins_et_al_2007","Cade_Hoffman_1993","Schoener_1968","max",0.0735543980567352,"db","db","single","2007","1968","1993"
"36","Strix_occidentalis",87.4001,31,1.4e+07,0.637,"Aves","Strigiformes","Carnivore","air","air","air","air","Jenkins_et_al_2007","Laymon_1989","Makarieva_etal_2005","max",2.11100412282238,"db","db","single","2007","2005","1989"
"37","Chrysemys_picta",0.6211,0.06,31500,0.3545,"Reptilia","Testudines","Carnivore","land","land_aquatic","land_aquatic","aquatic","Jenkins_et_al_2007","Congdon_Gatten_1989","Tamburello_etal_2015","max",0.100133717671868,"db","db","single","2007","2015","1989"
"38","Mus_musculus",1.5001,0.01,800,0.014,"Mammalia","Rodentia","Omnivore","land","land","land","land","Jenkins_et_al_2007","Sidorov_2010","Mace_Harvey_1983","max",0.0159576912160573,"db","db","single","2007","1983","2010"
"39","Castor_canadensis",40.6001,0,32374.9,20.25,"Mammalia","Rodentia","Herbivore","","land_aquatic","","land_aquatic","Jenkins_et_al_2007","Lancia_etal_1982","McNab_1963","max",0.101514780865703,"db","db","single","2007","1963","1982"
"40","Canis_latrans",232.0001,35.8,6190000,14.06,"Mammalia","Carnivora","Omnivore","land","land","land","land","Jenkins_et_al_2007","Gantz_Knowlton_2005","Swihart_etal_1988","max",1.40368735674211,"db","db","single","2007","1988","2005"
"41","Emydoidea_blandingii",1.1151,1.3,33000,1.294,"Reptilia","Testudines","Carnivore","land","land_aquatic","land","land_aquatic","Jenkins_et_al_2007","Congdon_etal_2011","Tamburello_etal_2015","max",0.102490127544389,"db","db","single","2007","2015","2011"
"42","Meles_meles",8.3001,0,870000,13,"Mammalia","Carnivora","Omnivore","land","land","","land","Jenkins_et_al_2007","IUCN","Gittleman_Harvey_1982","max",0.526241010355424,"db","db","db","2007","1982","IUCN"
"43","Larus_delawarensis",700.0001,1563,1.5e+08,0.57,"Aves","Charadriiformes","Omnivore","air","air","air","air","Jenkins_et_al_2007","Gabrey_1996","Clark_etal_2016","max",6.90988298942671,"db","single","single","2007","2016","1996"
"44","Varanus_varius",1.8001,0,558000,0.5651,"Reptilia","Squamata","Carnivore","land","land","","land","Jenkins_et_al_2007","Guarino_2002","Perry_Garland_2002","max",0.421446220164038,"db","db","single","2007","2002","2002"
"45","Urile_pelagicus",150.0001,920,3.14e+08,1.562,"Aves","Pelecaniformes","Carnivore","","air","air","air_marine","Jenkins_et_al_2007","Hatch_et_al_2011","Hatch_et_al_2011","max",9.99746489174682,"db","single","single","2007","2011","2011"
"46","Apus_apus",111.0001,12000,9.33e+09,0.04,"Aves","Apodiformes","Invertivore","air","air","air","air","Jenkins_et_al_2007","Hein_etal_2012","ADW","max",54.4961580122376,"db","db","db","2007","ADW","2012"
"47","Bucephala_clangula",6.0001,3000,110000,0.92,"Aves","Anseriformes","Carnivore","","air","air","aquatic","Jenkins_et_al_2007","Hein_etal_2012","Bowman_2003","max",0.187120515925478,"db","db","db","2007","2003","2012"
"48","Ficedula_hypoleuca",56.0001,7000,14000,0.016,"Aves","Passeriformes","Invertivore","air","air","air","air","Jenkins_et_al_2007","Hein_etal_2012","Bowman_2003","max",0.0667558117812455,"db","db","db","2007","2003","2012"
"49","Chroicocephalus_ridibundus",189.5001,4000,1.08e+09,0.28,"Aves","Charadriiformes","Carnivore","air","air","air","air","Jenkins_et_al_2007","Hein_etal_2012","Gorke_Brandl_1986","max",18.5411616971131,"db","single","db","2007","1986","2012"
"50","Larus_fuscus",202.0001,6500,1.61e+08,0.8,"Aves","Charadriiformes","Carnivore","air","air","air","air","Jenkins_et_al_2007","Hein_etal_2012","Thaxter_etal_2015","max",7.15876327835963,"db","single","db","2007","2015","2012"
"51","Sylvia_communis",52.4001,9000,2000,0.018,"Aves","Passeriformes","Invertivore","air","air","air","air","Jenkins_et_al_2007","Hein_etal_2012","Halupka_etal_2002","max",0.0252313252202016,"db","single","db","2007","2002","2012"
"52","Carcharodon_carcharias",1450.0001,11000,7855000,550,"Chondrichthyes","Lamniformes","Carnivore","water","marine","marine","marine","Jenkins_et_al_2007","Hein_etal_2012","Jewell_et_al_2014","max",1.58124133388097,"db","single","db","2007","2014","2012"
"53","Canis_lupus",886.0001,500,62500000,37,"Mammalia","Carnivora","Carnivore","land","land","land","land","Jenkins_et_al_2007","Hein_etal_2012","Lindstedt_etal_1986","max",4.46031029038193,"db","db","db","2007","1986","2012"
"54","Tursiops_truncatus",1000.0001,1100,51300000,140,"Mammalia","Artiodactyla","Carnivore","water","marine","marine","marine","Jenkins_et_al_2007","Hein_etal_2012","Gubbins_2002","max",4.04095250667815,"db","single","db","2007","2002","2012"
"55","Isurus_oxyrinchus",4543.0001,2400,1.04e+09,58,"Chondrichthyes","Lamniformes","Carnivore","water","marine","marine","marine","Jenkins_et_al_2007","Hein_etal_2012","Rogers_etal_2015","max",18.1945673658689,"db","single","db","2007","2015","2012"
"56","Apodemus_sylvaticus",0.5001,0,13052.09,0.0212,"Mammalia","Rodentia","Herbivore","land","land","","land","Jenkins_et_al_2007","Kikkawa_1964","Tamburello_etal_2015","max",0.064456258674861,"db","db","single","2007","2015","1964"
"57","Fringilla_coelebs",22.6001,5000,42000,0.02325,"Aves","Passeriformes","Invertivore","air","air","air","air","Jenkins_et_al_2007","Hein_etal_2012","Tamburello_etal_2015","max",0.115624457705622,"db","db","db","2007","2015","2012"
"58","Motacilla_flava",35.5001,8000,10117.13,0.0175,"Aves","Passeriformes","Invertivore","air","air","air","air","Jenkins_et_al_2007","Hein_Gillooly_2011","Tamburello_etal_2015","max",0.0567484140642416,"db","db","db","2007","2015","2011"
"59","Muscicapa_striata",48.0001,13000,10000,0.0128,"Aves","Passeriformes","Invertivore","air","air","air","air","Jenkins_et_al_2007","Hein_Gillooly_2011","Tamburello_etal_2015","max",0.0564189583547756,"db","db","db","2007","2015","2011"
"60","Mustela_erminea",5.6001,0,1323244.2,0.27054,"Mammalia","Carnivora","Carnivore","land","land","","land","Jenkins_et_al_2007","IUCN","Tamburello_etal_2015","max",0.649000547530864,"db","db","db","2007","2015","IUCN"
"61","Oenanthe_oenanthe",95.6001,1400,15378.03,0.0252,"Aves","Passeriformes","Invertivore","air","air","air","air","Jenkins_et_al_2007","Hein_Gillooly_2011","Tamburello_etal_2015","max",0.0699641263722411,"db","db","db","2007","2015","2011"
"62","Onychomys_torridus",0.3291,0,25945.38,0.022,"Mammalia","Rodentia","Carnivore","land","land","","land","Jenkins_et_al_2007","O'Farrell_1974","Tamburello_etal_2015","max",0.0908772301228157,"db","db","single","2007","2015","1974"
"63","Phoenicurus_phoenicurus",36.0001,6000,4500,0.01521,"Aves","Passeriformes","Invertivore","air","air","air","air","Jenkins_et_al_2007","Hein_Gillooly_2011","Tamburello_etal_2015","max",0.0378469878303024,"db","db","db","2007","2015","2011"
"64","Streptopelia_turtur",30.4001,6000,63585000,0.14033,"Aves","Columbiformes","Herbivore","air","air","air","air","Jenkins_et_al_2007","Hein_Gillooly_2011","Tamburello_etal_2015","max",4.49885920128607,"db","db","db","2007","2015","2011"
"65","Sylvilagus_floridanus",3.9001,0,28920.11,1.36079,"Mammalia","Lagomorpha","Herbivore","land","land","","land","Jenkins_et_al_2007","Schribner_Warren_1990","Tamburello_etal_2015","max",0.0959455935544864,"db","db","single","2007","2015","1990"
"66","Prionace_glauca",7870.0001,3200,1.64e+12,70,"Chondrichthyes","Carcharhiniformes","Carnivore","water","marine","marine","marine","Jenkins_et_al_2007","Hein_Gillooly_2011","Vandeperre_etal_2014","max",722.515199384357,"db","single","db","2007","2014","2011"
"67","Physeter_catodon",4000.0001,5000,3.14e+12,45000,"Mammalia","Artiodactyla","Carnivore","water","marine","marine","marine","Jenkins_et_al_2007","Hein_Gillooly_2011","Whitehead_2008","max",999.746489174682,"db","single","db","2007","2008","2011"
"68","Corvus_corax",11.4801,0,9388707,1.134,"Aves","Passeriformes","Omnivore","air","air","","air","Jenkins_et_al_2007","Heldbjerg_Fox_2008","Schoener_1968","max",1.72873313631195,"db","db","single","2007","1968","2008"
"69","Lagopus_leucura",29.0001,5.47,10300,0.516,"Aves","Galliformes","Herbivore","land","land","land","land","Jenkins_et_al_2007","Hoffman_1975","Giesen_Braun_1992","max",0.0572589890558072,"db","single","single","2007","1992","1975"
"70","Falco_tinnunculus",158.8001,2125.3,3e+06,0.2,"Aves","Falconiformes","Carnivore","air","air","air","air","Jenkins_et_al_2007","Holte_etal_2016","Makarieva_etal_2005","max",0.97720502380584,"db","db","single","2007","2005","2016"
"71","Recurvirostra_americana",19.4001,1703.2,20700000,0.32,"Aves","Charadriiformes","Carnivore","","air","air","air_land","Jenkins_et_al_2007","Horton_2018","Ackerman_etal_2007","max",2.56690760332437,"db","single","db","2007","2007","2018"
"72","Bucephala_albeola",4.5001,2110.2,5600,0.334,"Aves","Anseriformes","Carnivore","","air","air","land_aquatic_marine","Jenkins_et_al_2007","Horton_2018","Bowman_2003","max",0.0422200824564475,"db","db","db","2007","2003","2018"
"73","Passerculus_sandwichensis",1.6001,2529.23,1400,0.02,"Aves","Passeriformes","Omnivore","air","air","air","air","Jenkins_et_al_2007","Horton_2018","Bowman_2003","max",0.0211100412282238,"db","db","db","2007","2003","2018"
"74","Zonotrichia_leucophrys",2.6001,2396.1,1200,0.028,"Aves","Passeriformes","Omnivore","air","air","air","air","Jenkins_et_al_2007","Horton_2018","Bowman_2003","max",0.0195441004761168,"db","db","db","2007","2003","2018"
"75","Aix_sponsa",3.8001,469.4,3670000,0.658,"Aves","Anseriformes","Omnivore","","air","air","air_land_aquatic","Jenkins_et_al_2007","Horton_2018","Hartke _Hepp_2004","max",1.0808317548511,"db","single","db","2007","2004","2018"
"76","Lanius_ludovicianus",79.7001,567.5,60000,0.0481,"Aves","Passeriformes","Invertivore","air","air","air","air","Jenkins_et_al_2007","Horton_2018","Makarieva_etal_2005","max",0.138197659788534,"db","db","db","2007","2005","2018"
"77","Malurus_splendens",2.4001,0,43000,0.01,"Aves","Passeriformes","Invertivore","air","air","","air","Jenkins_et_al_2007","IUCN","Bowman_2003","max",0.116992842113964,"db","db","db","2007","2003","IUCN"
"78","Perisoreus_canadensis",11.3001,0,870000,0.071,"Aves","Passeriformes","Omnivore","air","air","","air","Jenkins_et_al_2007","IUCN","Bowman_2003","max",0.526241010355424,"db","db","db","2007","2003","IUCN"
"79","Strix_nebulosa",50.0001,0,47800000,1.16,"Aves","Strigiformes","Carnivore","air","air","","air","Jenkins_et_al_2007","Cornell Birds of North America","Bowman_2003","max",3.90066821962407,"db","db","single","2007","2003","2004"
"80","Tetrastes_bonasia",5.7001,0,120000,0.429,"Aves","Galliformes","Herbivore","land","land","","land","Jenkins_et_al_2007","Avibase","Bowman_2003","max",0.195441004761168,"db","db","db","2007","2003","Avibase"
"81","Peromyscus_maniculatus",1.3201,0,8100,0.016,"Mammalia","Rodentia","Omnivore","land","land","","land","Jenkins_et_al_2007","IUCN","Harestad_ Bunnel_1979","max",0.0507770625192981,"db","db","db","2007","1979","IUCN"
"82","Picoides_borealis",90.0001,0,869000,0.044,"Aves","Piciformes","Invertivore","air","air","","air","Jenkins_et_al_2007","IUCN","Hooper_et_al_1982","max",0.525938486035881,"db","single","db","2007","1982","IUCN"
"83","Gymnorhinus_cyanocephalus",640.0001,0,59800000,0.103,"Aves","Passeriformes","Omnivore","air","air","","air","Jenkins_et_al_2007","IUCN","Johnson_etal_2016","max",4.36290398631355,"db","single","db","2007","2016","IUCN"
"84","Aquila_adalberti",430.0001,0,1.2e+07,3,"Aves","Accipitriformes","Carnivore","air","air","","air","Jenkins_et_al_2007","IUCN","Makarieva_etal_2005","max",1.95441004761168,"db","db","db","2007","2005","IUCN"
"85","Parabuteo_unicinctus",160.0001,0,3900000,0.73,"Aves","Accipitriformes","Carnivore","air","air","","air","Jenkins_et_al_2007","IUCN","Makarieva_etal_2005","max",1.11418515342684,"db","db","db","2007","2005","IUCN"
"86","Iguana_iguana",1.4101,0,4370,1.068414286,"Reptilia","Squamata","Herbivore","land","land","","land","Jenkins_et_al_2007","IUCN","Perry_Garland_2002","max",0.0372963028009904,"db","db","db","2007","2002","IUCN"
"87","Lagopus_lagopus",7.5001,0,25899.9,0.62,"Aves","Galliformes","Herbivore","land","land","","land","Jenkins_et_al_2007","IUCN","Schoener_1968","max",0.0907975452375865,"db","db","db","2007","1968","IUCN"
"88","Aegithalos_caudatus",24.9001,0,42000,0.008,"Aves","Passeriformes","Invertivore","air","air","","air","Jenkins_et_al_2007","IUCN","Tamburello_etal_2015","max",0.115624457705622,"db","db","db","2007","2015","IUCN"
"89","Lampropeltis_triangulum",0.5001,0,240400,0.165,"Reptilia","Squamata","Carnivore","land","land","","land","Jenkins_et_al_2007","IUCN","Tamburello_etal_2015","max",0.276625553119345,"db","db","db","2007","2015","IUCN"
"90","Picus_viridis",27.8001,0,1850000,0.18667,"Aves","Piciformes","Invertivore","air","air","","air","Jenkins_et_al_2007","IUCN","Tamburello_etal_2015","max",0.767380798196054,"db","db","db","2007","2015","IUCN"
"91","Coluber_constrictor",2.2901,0,151000,0.55615,"Reptilia","Squamata","Carnivore","land","land","","land","Jenkins_et_al_2007","IUCN","Tamburello_etal_2015","max",0.219236841825804,"db","db","db","2007","2015","IUCN"
"92","Dicamptodon_tenebrosus",0.06635,0.05,2978.58,0.06765,"Amphibia","Caudata","Carnivore","land","land","land","land","Jenkins_et_al_2007","JOHNSTON_1999","Johnston_Frid_2002","max",0.0307914186225532,"db","single","single","2007","2002","1999"
"93","Thomomys_bottae",0.3001,0,71.14,0.16018,"Mammalia","Rodentia","Herbivore","land","land","","land","Jenkins_et_al_2007","Jones_Baxter_2004","Tamburello_etal_2015","max",0.00475863061217351,"db","db","single","2007","2015","2004"
"94","Carcharhinus_limbatus",2146.0001,2148,977000,25.258,"Chondrichthyes","Carcharhiniformes","Carnivore","water","marine","marine","marine","Jenkins_et_al_2007","Keeney_et_al_2003","Heupel_et_al_2004","max",0.557663661001471,"db","single","single","2007","2004","2003"
"95","Sternotherus_odoratus",0.0111,0,28000,0.19,"Reptilia","Testudines","Carnivore","land","land","","aquatic","Jenkins_et_al_2007","King_Heatwolfe_1999","Tamburello_etal_2015","max",0.094406974388263,"db","db","single","2007","2015","1999"
"96","Nerodia_erythrogaster",1.0001,0,131000,0.31324,"Reptilia","Squamata","Carnivore","land","land_aquatic","","land_aquatic","Jenkins_et_al_2007","Kingsbury_Copolla_2000","Tamburello_etal_2015","max",0.2042023386009,"db","db","single","2007","2015","2000"
"97","Pseudacris_triseriata",0.2131,0,2117,0.00179,"Amphibia","Anura","Invertivore","land","land","land","land","Jenkins_et_al_2007","Dinsmore_Swanson_2008","Kramer_1974","max",0.0259588526143026,"db","single","single","2007","1974","2008"
"98","Riparia_riparia",144.0001,3454,282743,0.012,"Aves","Passeriformes","Invertivore","air","air","air","air","Jenkins_et_al_2007","LaSorte_etal_2013","Alves__Johnstone_1994","max",0.299999820248719,"db","single","db","2007","1994","2013"
"99","Accipiter_cooperii",35.2001,2500,84646.0836,0.47,"Aves","Accipitriformes","Carnivore","air","air","air","aor","Jenkins_et_al_2007","Henney_1990","Armstrong_1965","max",0.164145317437384,"db","db","single","2007","1965","1990"
"100","Buteo_lineatus",24.0001,1000,4604.9796,0.625,"Aves","Accipitriformes","Carnivore","air","air","air","air","Jenkins_et_al_2007","Jacobs_Jacobs_2002","Armstrong_1965","max",0.0382859051395507,"db","db","single","2007","1965","2002"
"101","Buteo_swainsoni",320.0001,13504,182628.0225,0.988,"Aves","Accipitriformes","Carnivore","air","air","air","air","Jenkins_et_al_2007","Fuller_etal_1998","Armstrong_1965","max",0.241106418529134,"db","db","single","2007","1965","1998"
"102","Falco_columbarius",81.1001,3400,125663.7,0.218,"Aves","Falconiformes","Carnivore","air","air","air","air","Jenkins_et_al_2007","Warkentin_1990","Becker_Sieg_1987","max",0.199999995111085,"db","single","single","2007","1987","1990"
"103","Falco_peregrinus",357.0001,8600,12600000,0.7815,"Aves","Falconiformes","Carnivore","air","air","air","air","Jenkins_et_al_2007","Hein_Gillooly_2011","Bowman_2003","max",2.00267435343736,"db","db","db","2007","2003","2011"
"104","Numenius_phaeopus",1.6301,5000,210000,0.4,"Aves","Charadriiformes","Omnivore","air","air","air","air_land","Jenkins_et_al_2007","Watts_etal_2008","Bowman_2003","max",0.258544147291321,"db","db","single","2007","2003","2008"
"105","Sayornis_nigricans",34.4001,100,700,0.02,"Aves","Passeriformes","Invertivore","air","air","air","air","Jenkins_et_al_2007","IUCN","Bowman_2003","max",0.0149270533036046,"db","db","db","2007","2003","IUCN"
"106","Eudocimus_albus",100.0001,0,12570000,1.04,"Aves","Pelecaniformes","Carnivore","","air","","air_land","Jenkins_et_al_2007","IUCN","Frederick_Ogden_1997","max",2.00028879648171,"db","single","db","2007","1997","IUCN"
"107","Zenaida_macroura",4.8001,2900,2170000,0.119,"Aves","Columbiformes","Herbivore","air","air","air","air","Jenkins_et_al_2007","Baskett_etal_1993","Losito_Mirachi_1991","max",0.831103154258739,"db","single","single","2007","1991","1993"
"108","Asio_otus",161.6001,800,5100000,0.252,"Aves","Strigiformes","Carnivore","air","air","air","air","Jenkins_et_al_2007","Holt_1997","Makarieva_etal_2005","max",1.27411946831423,"db","db","single","2007","2005","1997"
"109","Athene_cunicularia",30.0001,2735,10568.3,0.15,"Aves","Strigiformes","Carnivore","","air","air","air_land","Jenkins_et_al_2007","Holroyd_etal_2010","Manning_Goldberg_2010","max",0.0579999514668431,"db","single","single","2007","2010","2010"
"110","Branta_canadensis",30.5001,3500,8960000,3.814,"Aves","Anseriformes","Herbivore","","air","air","air_land","Jenkins_et_al_2007","Hein_Gillooly_2011","Giles_2010","max",1.6888032982579,"db","single","db","2007","2010","2011"
"111","Progne_subis",336.0001,7600,19064472000,0.049,"Aves","Passeriformes","Invertivore","air","air","air","air","Jenkins_et_al_2007","Hein_Gillooly_2011","Russell _Gauthreaux_1999","max",77.8999994382161,"db","single","db","2007","1999","2011"
"112","Accipiter_gentilis",1150.0001,346,2130000,0.978,"Aves","Accipitriformes","Invertivore","air","air","air","air","Jenkins_et_al_2007","Squires_etal_2020","Schoener_1968","max",0.823407588968837,"db","db","single","2007","1968","2020"
"113","Actitis_macularia",146.7001,6700,50000,0.04,"Aves","Charadriiformes","Carnivore","","air","air","air_land","Jenkins_et_al_2007","Reed_etal_2013","Swarth_Mewaldt_1988","max",0.126156626101008,"db","single","single","2007","1988","2013"
"114","Cygnus_buccinator",128.0001,700,508000,11.4,"Aves","Anseriformes","Herbivore","","air","air","land_aquatic","Jenkins_et_al_2007","Mitchell_Eichholz_2020","Travsky_Beauvais_2004","max",0.402121153610906,"db","single","single","2007","2004","2020"
"115","Mephitis_mephitis",21.7001,0,40000,2.586,"Mammalia","Carnivora","Omnivore","air","land","","land","Jenkins_et_al_2007","Gonzales_1997","Gittleman_Harvey_1982","max",0.112837916709551,"db","db","db","2007","1982","1997"
"116","Neovison_vison",45.1001,0,2700000,0.908,"Mammalia","Carnivora","Carnivore","","land","","land_aquatic","Jenkins_et_al_2007","Eccles_etal_2020","Gittleman_Harvey_1982","max",0.927058084855655,"db","db","db","2007","1982","2020"
"117","Ambystoma_californiense",0.6701,0.0359,7.07,0.0266,"Amphibia","Caudata","Invertivore","land","land","land","land","Jenkins_et_al_2007","Loredo_et_al_1996","Loredo_etal_1996","max",0.00150015029091068,"db","single","single","2007","1996","1996"
"118","Procyon_lotor",265.5001,0,3521000,8,"Mammalia","Carnivora","Omnivore","land","land","","land","Jenkins_et_al_2007","Gonzales_1997","Rees_etal_2008","max",1.05866383203221,"db","single","db","2007","2008","1997"
"119","Crotalus_horridus",4.0701,4,2579600,1.02,"Reptilia","Squamata","Carnivore","land","inferred","","land","Jenkins_et_al_2007","Macartney_et_al_1998","Tamburello_etal_2015","max",0.906152405724173,"db","db","single","2007","2015","1998"
"120","Plethodon_jordani",0.3001,0,25,0.00427,"Amphibia","Caudata","Invertivore","land","land","","land","Jenkins_et_al_2007","Madison_1969","Madison_Shoop_1970","max",0.00282094791773878,"db","single","single","2007","1970","1969"
"121","Ambystoma_maculatum",0.7561,0.118,12.57,0.03537,"Amphibia","Caudata","Invertivore","land","land","land","land","Jenkins_et_al_2007","Madison_1997","Freda_1983","max",0.00200028879648171,"db","single","single","2007","1983","1997"
"122","Natrix_natrix",0.1141,0.3,99000,0.0785,"Reptilia","Squamata","Carnivore","land","land","land","land","Jenkins_et_al_2007","Reading_2009","Tamburello_etal_2015","max",0.177518108181096,"db","db","single","2007","2015","2009"
"123","Lacerta_agilis",0.0564,0,384,0.0314,"Reptilia","Squamata","Invertivore","land","land","","land","Jenkins_et_al_2007","Madsen_etal_2000","Perry_Garland_2002","max",0.0110558127830827,"db","db","single","2007","2002","2000"
"124","Gopherus_polyphemus",0.7401,0.2,4500,0.335,"Reptilia","Testudines","Herbivore","land","land","land","land","Jenkins_et_al_2007","McRae_et_al_1981","McRae_etal_1981","max",0.0378469878303024,"db","single","single","2007","1981","1981"
"125","Carinascincus_microlepidotus",0.0525,0,12.1,0.0042,"Reptilia","Squamata","Invertivore","land","land","","land","Jenkins_et_al_2007","Melville_Swain_1997","Perry_Garland_2002","max",0.00196253652776805,"db","db","single","2007","2002","1997"
"126","Cygnus_olor",114.0001,760,60000,11.8,"Aves","Anseriformes","Herbivore","","air","air","land_aquatic_marine","Jenkins_et_al_2007","Wieloch_1991","Global Invasive Species Database","max",0.138197659788534,"db","single","single","2007","GISD","1991"
"127","Erithacus_rubecula",79.8001,500,0.372,0.018,"Aves","Passeriformes","Invertivore","air","air","air","air","Jenkins_et_al_2007","Moller_etal_2004","Armstrong_1965","max",0.000344109397808851,"db","db","db","2007","1965","2004"
"128","Sylvia_atricapilla",117.0001,2500,369300,0.0155,"Aves","Passeriformes","Omnivore","air","air","air","air","Jenkins_et_al_2007","Moller_etal_2004","Assandri_etal_2017","max",0.342858339504341,"db","single","db","2007","2017","2004"
"129","Corvus_corone",35.5001,0,177205.5,0.57,"Aves","Passeriformes","Omnivore","air","air","","air","Jenkins_et_al_2007","Moller_etal_2004","Baglione_etal_2002","max",0.237500026391876,"db","single","db","2007","2002","2004"
"130","Cyanistes_caeruleus",35.7001,0,16000,0.0133,"Aves","Passeriformes","Invertivore","air","air","","air","Jenkins_et_al_2007","Moller_etal_2004","Bowman_2003","max",0.0713649646461108,"db","db","db","2007","2003","2004"
"131","Parus_major",41.1001,0,10000,0.0197,"Aves","Passeriformes","Invertivore","air","air","","air","Jenkins_et_al_2007","Moller_etal_2004","Bowman_2003","max",0.0564189583547756,"db","db","db","2007","2003","2004"
"132","Pica_pica",44.3001,0,15000,0.189,"Aves","Passeriformes","Omnivore","air","air","","air","Jenkins_et_al_2007","Moller_etal_2004","Bowman_2003","max",0.0690988298942671,"db","db","db","2007","2003","2004"
"133","Streptopelia_decaocto",59.9001,0,106200,0.152,"Aves","Columbiformes","Omnivore","air","air","","air","Jenkins_et_al_2007","Moller_etal_2004","Eraud_etal_2011","max",0.183860028045028,"db","single","db","2007","2011","2004"
"134","Motacilla_cinerea",85.6001,3000,23000,0.018,"Aves","Passeriformes","Invertivore","air","air","air","air","Jenkins_et_al_2007","Moller_etal_2004","Klemp_2004","max",0.085563586777479,"db","single","db","2007","2004","2004"
"135","Emberiza_citrinella",36.0001,500,40000,0.0265,"Aves","Passeriformes","Herbivore","air","air","air","air","Jenkins_et_al_2007","Moller_etal_2004","Moller_1990","max",0.112837916709551,"db","single","db","2007","1990","2004"
"136","Alauda_arvensis",51.7001,1500,29000,0.0427,"Aves","Passeriformes","Omnivore","air","air","air","air","Jenkins_et_al_2007","Moller_etal_2004","Poulsen_etal_1998","max",0.0960780240186586,"db","single","db","2007","1998","2004"
"137","Columba_palumbus",150.0001,500,2540000,0.49,"Aves","Columbiformes","Omnivore","air","air","air","air","Jenkins_et_al_2007","Moller_etal_2004","Tamburello_etal_2015","max",0.89917023466462,"db","db","db","2007","2015","2004"
"138","Motacilla_alba",100.0001,2500,785000,0.02122,"Aves","Passeriformes","Invertivore","air","air","air","air","Jenkins_et_al_2007","Moller_etal_2004","Tamburello_etal_2015","max",0.499873244587341,"db","db","db","2007","2015","2004"
"139","Sitta_europaea",24.1001,0,21000,0.0183,"Aves","Passeriformes","Invertivore","air","air","","air","Jenkins_et_al_2007","Moller_etal_2004","Tamburello_etal_2015","max",0.0817588381146626,"db","db","db","2007","2015","2004"
"140","Carcharhinus_melanopterus",5.0001,50,5e+05,5.518,"Chondrichthyes","Carcharhiniformes","Carnivore","water","marine","marine","marine","Jenkins_et_al_2007","Mourier_Planes_2013","Mourier_Planes_2013","max",0.398942280401433,"db","single","single","2007","2013","2013"
"141","Meleagris_gallopavo",48.0001,0,14520000,6.023,"Aves","Galliformes","Omnivore","land","land","","land","Jenkins_et_al_2007","Fristoe_et_al_2017","Davis_etal_2018","max",2.14985105237285,"db","single","db","2007","2018","2017"
"142","Tympanuchus_cupido",10.8001,0,53200,0.908,"Aves","Galliformes","Herbivore","land","land","","land","Jenkins_et_al_2007","IUCN","Mace_Harvey_1983","max",0.130131033750515,"db","db","db","2007","1983","IUCN"
"143","Strix_aluco",35.3001,0,360000,0.519,"Aves","Strigiformes","Carnivore","air","air","","air","Jenkins_et_al_2007","Fristoe_et_al_2017","Makarieva_etal_2005","max",0.338513750128654,"db","db","db","2007","2005","2017"
"144","Aegolius_funereus",300.0001,0,1138000,0.119,"Aves","Strigiformes","Carnivore","air","air","","air","Jenkins_et_al_2007","Lofgren_et_al_1996","Santangeli_etal_2012","max",0.60186098932989,"db","single","single","2007","2012","1996"
"145","Poecile_atricapillus",11.2001,0,14568.7,0.011,"Aves","Passeriformes","Omnivore","air","air","","air","Jenkins_et_al_2007","IUCN","Schoener_1968","max",0.0680981735353144,"db","db","db","2007","1968","IUCN"
"146","Accipiter_nisus",166.0001,1100,10800000,0.807,"Aves","Accipitriformes","Carnivore","air","air","air","air","Jenkins_et_al_2007","http://birds.kz/v2taxon.php?l=en&s=85 + google earth","Selas_Rafoss_1999","max",1.85411616971131,"db","single","single","2007","1999","KZ Birds"
"147","Chelydra_serpentina",0.1831,0.5,65300,4.25,"Reptilia","Testudines","Carnivore","land","land","land","aquatic","Jenkins_et_al_2007","Obbard_1980","Tamburello_etal_2015","max",0.144172242709204,"db","db","single","2007","2015","1980"
"148","Athene_noctua",94.3001,0,280000,0.1565,"Aves","Strigiformes","Omnivore","air","air","","air","Jenkins_et_al_2007","Fristoe_et_al_2017","Makarieva_etal_2005","max",0.298541066072092,"db","db","db","2007","2005","2017"
"149","Tyto_alba",97.1001,0,1500000,0.285,"Aves","Strigiformes","Carnivore","air","air","","air","Jenkins_et_al_2007","Razafindratsima_etal_2018","Tamburello_etal_2015","max",0.690988298942671,"db","db","single","2007","2015","2018"
"150","Aphelocoma_coerulescens",1.8001,0,21000,0.0724,"Aves","Passeriformes","Omnivore","air","air","","air","Jenkins_et_al_2007","Fristoe_et_al_2017","Bowman_2003","max",0.0817588381146626,"db","db","db","2007","2003","2017"
"151","Linaria_cannabina",22.0001,2500,3140000,0.0155,"Aves","Passeriformes","Herbivore","air","air","air","air","Jenkins_et_al_2007","Roseler_2017","Tamburello_etal_2015","max",0.999746489174682,"db","db","single","2007","2015","2017"
