"","scientific_name.x","dispersal_km","Migration_km","mean.hra.m2","Mass_kg","class","order","diet_broadest_cat","media_simplified","media_dispersal","media_migration","media_foraging","source_dispersal","Migration_source","source_hra","dispersal_type","hr.radius","dispersal_source_type","foraging_source_type","migration_source_type","dispersal_year","foraging_year","migration_year"
"273","Trichosurus_vulpecula",5.4001,0,50134.88,2.87501,"Mammalia","Diprotodontia","Herbivore","land","land","","land","Santini_2013","Green_1986","Tamburello_etal_2015","mean",0.126326671556873,"db","db","single","2013","2015","1986"
"274","Urocitellus_columbianus",1.9001,0,535.5,0.57834,"Mammalia","Rodentia","Herbivore","land","land","","land","Santini_2013","Dobson_2016","Tamburello_etal_2015","mean of medians",0.0130558394617665,"db","db","single","2013","2015","2016"
"275","Vulpes_velox",19.2001,0,5495408.74,2.0893,"Mammalia","Carnivora","Carnivore","land","land","","land","Santini_2013","Butler_2019","Tamburello_etal_2015","median",1.32258947922733,"db","db","single","2013","2015","2019"
"276","Tachycineta_bicolor",0.1291,5500,1370000,0.02,"Aves","Passeriformes","Invertivore","air","air","air","air","Shutler_Clark_2003","Hein_Gillooly_2011","Stapleton_Robertson_2006","median",0.660366976818037,"single","single","db","2003","2006","2011"
"277","Panthera_tigris",101.3001,0,69690000,161,"Mammalia","Carnivora","Carnivore","land","land","","land","Singh_etal_2013","Sunquist_1979","Kroshko_etal_2016","mean",4.70988492090288,"single","db","single","2013","2016","1979"
"278","Charadrius_montanus",3.5001,1165.3,566000,0.0957,"Aves","Charadriiformes","Invertivore","","air","air","land_air","Skrade_Dinsmore_2010","Horton_2018","Plumb_et_al_2005","mean",0.424456588569462,"single","single","db","2010","2005","2018"
"279","Calidris_alpina",2.5001,4800,15300000,0.052,"Aves","Charadriiformes","Carnivore","","air","air","air_land","Soikkeli_1970","Wennerberg_2001","Choi_etal_2014","mean",2.20683965403289,"single","single","single","1970","2014","2001"
"280","Falco_mexicanus",2.5001,0,2.6e+07,0.801,"Aves","Falconiformes","Carnivore","air","air","","air","Steenhof_et_al_2005","IUCN","Makarieva_etal_2005","mean",2.8768136958758,"single","db","db","2005","2005","IUCN"
"281","Poecile_palustris",1.7701,0,22662.4,0.011,"Aves","Passeriformes","Invertivore","air","air","","air","Sutherland_etal_2000","IUCN","Schoener_1968","mean",0.0849333030362739,"single","db","db","2000","1968","IUCN"
"282","Columba_livia",3.0001,0,16400,0.393,"Aves","Columbiformes","Herbivore","air","air","","air","Tang_etal_2018","Moller_etal_2004","Sol_Senar_1995","mean",0.0722515199384357,"single","single","db","2018","1995","2004"
"283","Dumetella_carolinensis",15.0001,2308.1,1260000,0.0359,"Aves","Passeriformes","Invertivore","air","air","air","air","Tittler_etal_2009","Horton_2018","Ladin_etal_2018","median",0.633301236846713,"db","db","db","2009","2018","2018"
"284","Hylocichla_mustelina",70.0001,2822.3,1770000,0.051,"Aves","Passeriformes","Invertivore","air","air","air","air","Tittler_etal_2009","Horton_2018","Ladin_etal_2018","median",0.750605421340207,"db","db","db","2009","2018","2018"
"285","Icteria_virens",40.0001,2466.4,1300,0.027,"Aves","Passeriformes","Invertivore","air","air","air","air","Tittler_etal_2009","Horton_2018","Mace_Harvey_1983","median",0.0203421447256411,"db","db","db","2009","1983","2018"
"286","Melospiza_melodia",45.0001,753.4,1600,0.0216,"Aves","Passeriformes","Omnivore","air","air","air","air","Tittler_etal_2009","Horton_2018","Mace_Harvey_1983","median",0.0225675833419103,"db","db","db","2009","1983","2018"
"287","Passerina_caerulea",25.0001,1497.6,61900,0.0279,"Aves","Passeriformes","Invertivore","air","air","air","air","Tittler_etal_2009","Horton_2018","Mace_Harvey_1983","median",0.140368735674211,"db","db","db","2009","1983","2018"
"288","Pipilo_erythrophthalmus",15.0001,569.8,73100,0.041,"Aves","Passeriformes","Herbivore","air","air","air","air","Tittler_etal_2009","Horton_2018","Martin_2016","median",0.15254000354017,"db","single","db","2009","2016","2018"
"289","Setophaga_pensylvanica",35.0001,3458.6,6070.28,0.0096,"Aves","Passeriformes","Invertivore","air","air","air","air","Tittler_etal_2009","Horton_2018","Schoener_1968","median",0.0439571397602681,"db","db","db","2009","1968","2018"
"290","Spizella_passerina",40.0001,1839.1,30756.1,0.0142,"Aves","Passeriformes","Omnivore","air","air","air","air","Tittler_etal_2009","Horton_2018","Schoener_1968","median",0.0989442807364695,"db","db","db","2009","1968","2018"
"291","Troglodytes_aedon",75.0001,1142,4046.86,0.0112,"Aves","Passeriformes","Invertivore","air","air","air","air","Tittler_etal_2009","Horton_2018","Schoener_1968","median",0.0358908838843756,"db","db","db","2009","1968","2018"
"292","Vireo_griseus",55.0001,1122.6,1335.463,0.0114,"Aves","Passeriformes","Invertivore","air","air","air","air","Tittler_etal_2009","Horton_2018","Schoener_1968","median",0.0206177369158854,"db","db","db","2009","1968","2018"
"293","Mimus_polyglottos",45.0001,0,4000,0.0501,"Aves","Passeriformes","Omnivore","air","air","","air","Tittler_etal_2009","ICUN","Mace_Harvey_1983","median",0.0356824823230554,"db","db","single","2009","1983","ICUN"
"294","Hirundo_rustica",65.0001,12000,785000,0.019,"Aves","Passeriformes","Carnivore","air","air","air","air","Tittler_etal_2009","Hein_Gillooly_2011","Moller_1987","median",0.499873244587341,"db","single","db","2009","1987","2011"
"295","Piranga_olivacea",25.0001,5004,67000,0.029,"Aves","Passeriformes","Invertivore","air","air","air","air","Tittler_etal_2009","LaSorte_etal_2013","Rivera_etal_2003","median",0.146036852795156,"db","single","db","2009","2003","2013"
